sentence,verb_number,attractor_num,adjective,template,template_num,subject,attractor,adj_subj,adj_attr
The jack-o'-lantern near the childs is certainly rather upset,SG,PL,upset,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the child are certainly rather carved,PL,SG,carved,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the child are certainly rather upset,PL,SG,upset,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the childs are certainly rather carved,PL,PL,carved,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the childs are certainly rather upset,PL,PL,upset,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The baby near the pillow is quite noticeably happy,SG,SG,happy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillow is quite noticeably fluffy,SG,SG,fluffy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillows is quite noticeably happy,SG,PL,happy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillows is quite noticeably fluffy,SG,PL,fluffy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillow are quite noticeably happy,PL,SG,happy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillow are quite noticeably fluffy,PL,SG,fluffy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillows are quite noticeably happy,PL,PL,happy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The baby near the pillows are quite noticeably fluffy,PL,PL,fluffy,The baby near the pillow was quite noticeably happy / fluffy,6,The baby,pillow,happy,happy
The woman with the shopping bag is nearly always sad,SG,SG,sad,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bag is nearly always ripping,SG,SG,ripping,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bags is nearly always sad,SG,PL,sad,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bags is nearly always ripping,SG,PL,ripping,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bag are nearly always sad,PL,SG,sad,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bag are nearly always ripping,PL,SG,ripping,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bags are nearly always sad,PL,PL,sad,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The woman with the shopping bags are nearly always ripping,PL,PL,ripping,The woman with the shopping bag was nearly always sad / ripping,7,The woman,bag,sad,sad
The cloud above the car is obviously extraordinarily fluffy,SG,SG,fluffy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the car is obviously extraordinarily flashy,SG,SG,flashy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the cars is obviously extraordinarily fluffy,SG,PL,fluffy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the cars is obviously extraordinarily flashy,SG,PL,flashy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the car are obviously extraordinarily fluffy,PL,SG,fluffy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the car are obviously extraordinarily flashy,PL,SG,flashy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the cars are obviously extraordinarily fluffy,PL,PL,fluffy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The cloud above the cars are obviously extraordinarily flashy,PL,PL,flashy,The cloud above the car was obviously extraordinarily fluffy / flashy,8,The cloud,car,fluffy,fluffy
The bottle with the logo is very remarkably leaky,SG,SG,leaky,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logo is very remarkably clever,SG,SG,clever,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logos is very remarkably leaky,SG,PL,leaky,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logos is very remarkably clever,SG,PL,clever,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logo are very remarkably leaky,PL,SG,leaky,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logo are very remarkably clever,PL,SG,clever,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logos are very remarkably leaky,PL,PL,leaky,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The bottle with the logos are very remarkably clever,PL,PL,clever,The bottle with the logo was very remarkably leaky / clever,9,The bottle,logo,leaky,leaky
The boy by the tree is really very chubby,SG,SG,chubby,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the tree is really very green,SG,SG,green,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the trees is really very chubby,SG,PL,chubby,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the trees is really very green,SG,PL,green,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the tree are really very chubby,PL,SG,chubby,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the tree are really very green,PL,SG,green,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the trees are really very chubby,PL,PL,chubby,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The boy by the trees are really very green,PL,PL,green,The boy by the tree is really very chubby / green,10,The boy,tree,chubby,chubby
The bed by the lamp is undoubtedly quite comfortable,SG,SG,comfortable,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamp is undoubtedly quite bright,SG,SG,bright,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamps is undoubtedly quite comfortable,SG,PL,comfortable,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamps is undoubtedly quite bright,SG,PL,bright,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamp are undoubtedly quite comfortable,PL,SG,comfortable,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamp are undoubtedly quite bright,PL,SG,bright,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamps are undoubtedly quite comfortable,PL,PL,comfortable,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The bed by the lamps are undoubtedly quite bright,PL,PL,bright,The bed by the lamp was undoubtedly quite comfortable / bright,11,The bed,lamp,comfortable,comfortable
The student with the textbook is nearly always cheerful,SG,SG,cheerful,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbook is nearly always read,SG,SG,read,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbooks is nearly always cheerful,SG,PL,cheerful,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbooks is nearly always read,SG,PL,read,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbook are nearly always cheerful,PL,SG,cheerful,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbook are nearly always read,PL,SG,read,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbooks are nearly always cheerful,PL,PL,cheerful,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The student with the textbooks are nearly always read,PL,PL,read,The student with the textbook was nearly always cheerful / read,12,The student,textbook,cheerful,cheerful
The pool behind the gate is almost always full,SG,SG,full,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gate is almost always stuck,SG,SG,stuck,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gates is almost always full,SG,PL,full,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gates is almost always stuck,SG,PL,stuck,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gate are almost always full,PL,SG,full,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gate are almost always stuck,PL,SG,stuck,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gates are almost always full,PL,PL,full,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The pool behind the gates are almost always stuck,PL,PL,stuck,The pool behind the gate was almost always full / stuck,13,The pool,gate,full,full
The band near the van is probably pretty rested,SG,SG,rested,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the van is probably pretty fuel-efficient,SG,SG,fuel-efficient,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the vans is probably pretty rested,SG,PL,rested,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the vans is probably pretty fuel-efficient,SG,PL,fuel-efficient,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the van are probably pretty rested,PL,SG,rested,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the van are probably pretty fuel-efficient,PL,SG,fuel-efficient,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the vans are probably pretty rested,PL,PL,rested,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The band near the vans are probably pretty fuel-efficient,PL,PL,fuel-efficient,The band near the van was probably pretty rested / fuel-efficient,14,The band,van,rested,rested
The cat under the chair is most likely sleepy,SG,SG,sleepy,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chair is most likely wobbly,SG,SG,wobbly,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chairs is most likely sleepy,SG,PL,sleepy,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chairs is most likely wobbly,SG,PL,wobbly,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chair are most likely sleepy,PL,SG,sleepy,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chair are most likely wobbly,PL,SG,wobbly,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chairs are most likely sleepy,PL,PL,sleepy,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The cat under the chairs are most likely wobbly,PL,PL,wobbly,The cat under the chair was most likely sleepy / wobbly,15,The cat,chair,sleepy,sleepy
The girl in the movie is rather unusually tall,SG,SG,tall,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movie is rather unusually long,SG,SG,long,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movies is rather unusually tall,SG,PL,tall,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movies is rather unusually long,SG,PL,long,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movie are rather unusually tall,PL,SG,tall,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movie are rather unusually long,PL,SG,long,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movies are rather unusually tall,PL,PL,tall,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The girl in the movies are rather unusually long,PL,PL,long,The girl in the movie was rather unusually tall / long,16,The girl,movie,tall,tall
The author of the paper is truly remarkably outraged,SG,SG,outraged,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the paper is truly remarkably well-written,SG,SG,well-written,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the papers is truly remarkably outraged,SG,PL,outraged,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the papers is truly remarkably well-written,SG,PL,well-written,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the paper are truly remarkably outraged,PL,SG,outraged,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the paper are truly remarkably well-written,PL,SG,well-written,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the papers are truly remarkably outraged,PL,PL,outraged,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The author of the papers are truly remarkably well-written,PL,PL,well-written,The author of the paper was truly remarkably outraged / well-written,17,The author,paper,outraged,outraged
The novel next to the interviewer is entirely too lengthy,SG,SG,lengthy,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewer is entirely too loud,SG,SG,loud,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewers is entirely too lengthy,SG,PL,lengthy,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewers is entirely too loud,SG,PL,loud,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewer are entirely too lengthy,PL,SG,lengthy,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewer are entirely too loud,PL,SG,loud,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewers are entirely too lengthy,PL,PL,lengthy,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The novel next to the interviewers are entirely too loud,PL,PL,loud,The novel next to the interviewer was entirely too lengthy / loud,18,The novel,interviewer,lengthy,lengthy
The glass behind the curtain is most definitely shattered,SG,SG,shattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtain is most definitely tattered,SG,SG,tattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtains is most definitely shattered,SG,PL,shattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtains is most definitely tattered,SG,PL,tattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtain are most definitely shattered,PL,SG,shattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtain are most definitely tattered,PL,SG,tattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtains are most definitely shattered,PL,PL,shattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The glass behind the curtains are most definitely tattered,PL,PL,tattered,The glass behind the curtain was most definitely shattered / tattered,19,The glass,curtain,shattered,shattered
The vacation for the family is still profoundly satisfying,SG,SG,satisfying,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the family is still profoundly jet-lagged,SG,SG,jet-lagged,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the familys is still profoundly satisfying,SG,PL,satisfying,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the familys is still profoundly jet-lagged,SG,PL,jet-lagged,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the family are still profoundly satisfying,PL,SG,satisfying,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the family are still profoundly jet-lagged,PL,SG,jet-lagged,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the familys are still profoundly satisfying,PL,PL,satisfying,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The vacation for the familys are still profoundly jet-lagged,PL,PL,jet-lagged,The vacation for the family was still profoundly satisfying / jet-lagged,20,The vacation,family,satisfying,satisfying
The corn from the field is actually very tasty,SG,SG,tasty,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the field is actually very fruitful,SG,SG,fruitful,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the fields is actually very tasty,SG,PL,tasty,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the fields is actually very fruitful,SG,PL,fruitful,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the field are actually very tasty,PL,SG,tasty,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the field are actually very fruitful,PL,SG,fruitful,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the fields are actually very tasty,PL,PL,tasty,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The corn from the fields are actually very fruitful,PL,PL,fruitful,The corn from the field was actually very tasty / fruitful,21,The corn,field,tasty,tasty
The cake for the woman is certainly intentionally decorated,SG,SG,decorated,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the woman is certainly intentionally kind,SG,SG,kind,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the womans is certainly intentionally decorated,SG,PL,decorated,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the womans is certainly intentionally kind,SG,PL,kind,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the woman are certainly intentionally decorated,PL,SG,decorated,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the woman are certainly intentionally kind,PL,SG,kind,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the womans are certainly intentionally decorated,PL,PL,decorated,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The cake for the womans are certainly intentionally kind,PL,PL,kind,The cake for the woman was certainly intentionally decorated / kind,22,The cake,woman,decorated,decorated
The painting of the dog is surprisingly very artistic,SG,SG,artistic,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dog is surprisingly very tired,SG,SG,tired,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dogs is surprisingly very artistic,SG,PL,artistic,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dogs is surprisingly very tired,SG,PL,tired,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dog are surprisingly very artistic,PL,SG,artistic,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dog are surprisingly very tired,PL,SG,tired,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dogs are surprisingly very artistic,PL,PL,artistic,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The painting of the dogs are surprisingly very tired,PL,PL,tired,The painting of the dog was surprisingly very artistic / tired,23,The painting,dog,artistic,artistic
The coffee for the office is usually rather burnt,SG,SG,burnt,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the office is usually rather quiet,SG,SG,quiet,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the offices is usually rather burnt,SG,PL,burnt,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the offices is usually rather quiet,SG,PL,quiet,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the office are usually rather burnt,PL,SG,burnt,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the office are usually rather quiet,PL,SG,quiet,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the offices are usually rather burnt,PL,PL,burnt,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The coffee for the offices are usually rather quiet,PL,PL,quiet,The coffee for the office was usually rather burnt / quiet,24,The coffee,office,burnt,burnt
The football near the tree is generally fairly flat,SG,SG,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the tree is generally fairly tall,SG,SG,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees is generally fairly flat,SG,PL,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees is generally fairly tall,SG,PL,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the tree are generally fairly flat,PL,SG,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the tree are generally fairly tall,PL,SG,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees are generally fairly flat,PL,PL,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees are generally fairly tall,PL,PL,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The plant next to the gnome is really quite leafy,SG,SG,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome is really quite scary,SG,SG,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes is really quite leafy,SG,PL,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes is really quite scary,SG,PL,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome are really quite leafy,PL,SG,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome are really quite scary,PL,SG,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes are really quite leafy,PL,PL,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes are really quite scary,PL,PL,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The apple near the cabinet is luckily fairly fresh,SG,SG,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinet is luckily fairly childproof,SG,SG,childproof,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinets is luckily fairly fresh,SG,PL,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
